Wulfen Einherhar - Oathkeeper,Aegis,b2,p1
Wulfen Einherhar - Oathkeeper,Tenacious,g2,r1
Wulfen Einherhar - Oathkeeper,Bulwark,p2,g1
Wulfen Einherhar - Oathkeeper,Stoic,r2,b1
Wulfen Einherhar - Oathkeeper,Strife,r2,b1
Wulfen Einherhar - Oathkeeper,Wrath,g2,p1
Wulfen Einherhar - Oathkeeper,Vitality,p2,r1
Wulfen Einherhar - Oathkeeper,b2,r1,g1
Wulfen Einherhar - Oathkeeper,p1,b1,g1
Insatiable Heart - Demolisher,strife,r2,p1
Insatiable Heart - Demolisher,elusive,g2,b1
Insatiable Heart - Demolisher,wrath,b2,g1
Insatiable Heart - Demolisher,unyielding,g2,p1
Insatiable Heart - Demolisher,smiting,p2,r1
Insatiable Heart - Demolisher,wealth,r2,b1
Insatiable Heart - Demolisher,focused,b2,g1
Insatiable Heart - Demolisher,g2,r1,p1
Insatiable Heart - Demolisher,r2,p1,b1
Bond of Friendship,aegis,b2,p1
Bond of Friendship,tenacious,g2,r1
Bond of Friendship,bulwark,p2,g1
Bond of Friendship,stoic,r2,b1
Bond of Friendship,strife,r2,b1
Bond of Friendship,wrath,g2,p1
Bond of Friendship,vitality,p2,r1
Bond of Friendship,b2,r1,g1
Bond of Friendship,p2,b1,g1
Skullcrusher,strife,r2,p1
Skullcrusher,elusive,g2,b1
Skullcrusher,wrath,b2,g1
Skullcrusher,unyielding,g2,p1
Skullcrusher,smiting,p2,r1
Skullcrusher,wealth,r2,b1
Skullcrusher,focused,b2,g1
Skullcrusher,g2,r1,p1
Skullcrusher,r2,p1,b1
Commander Sword and Shield,aegis,r2,
Commander Sword and Shield,tenacious,g2,
Commander Sword and Shield,bulwark,p1,
Commander Sword and Shield,stoic,b2,
Commander Sword and Shield,strife,b2,
Commander Sword and Shield,wrath,g2,
Commander Sword and Shield,vitality,r2,
Commander Sword and Shield,p2,b1,
Commander Sword and Shield,g2,p1,
Obsidian Sledgehammer,strife,r2,
Obsidian Sledgehammer,elusive,b2,
Obsidian Sledgehammer,wrath,p2,
Obsidian Sledgehammer,unyielding,g2,
Obsidian Sledgehammer,smiting,b2,
Obsidian Sledgehammer,wealth,r2,
Obsidian Sledgehammer,focused,p2,
Obsidian Sledgehammer,r2,g1,
Obsidian Sledgehammer,p2,r1,
Studded Sword and Shield,aegis,r1,
Studded Sword and Shield,tenacious,p1,
Studded Sword and Shield,bulwark,b1,
Studded Sword and Shield,stoic,g1,
Studded Sword and Shield,strife,p1,
Studded Sword and Shield,wrath,g1,
Studded Sword and Shield,vitality,b1,
Studded Sword and Shield,r1,g1,
