slug,name,kind,class,slot,rarity,num_variants,socket_count,socket_shapes
ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,9,,
ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,9,,
ace-assassin-garb,Ace Assassin Garb,armor,Shadowstrix,Chest,Legendary,9,,
ace-assassin-mask,Ace Assassin Mask,armor,Shadowstrix,Head,Legendary,9,,
ace-assassin-pants,Ace Assassin Pants,armor,Shadowstrix,Legs,Legendary,9,,
agility-12-blue-purple,Agility 12 Blue-Purple,armor,Shadowstrix,Necklace,Excellent,0,,
agility-12-blue,Agility 12 Blue,armor,Shadowstrix,Necklace,Excellent,0,,
agility-12-gray,Agility 12 Gray,armor,Shadowstrix,Necklace,Damaged,0,,
agility-12-green-blue,Agility 12 Green-Blue,armor,Shadowstrix,Necklace,Rare,0,,
agility-12-green,Agility 12 Green,armor,Shadowstrix,Necklace,Rare,0,,
agility-12-orange,Agility 12 Orange,armor,Shadowstrix,Necklace,Legendary,0,,
agility-12-purple-orange,Agility 12 Purple-Orange,armor,Shadowstrix,Necklace,Epic,0,,
agility-12-purple,Agility 12 Purple,armor,Shadowstrix,Necklace,Epic,0,,
agility-12-white-no-jewelry,Agility 12 White (No Jewelry),armor,Shadowstrix,Necklace,Common,0,,
agility-12-white,Agility 12 White,armor,Shadowstrix,Necklace,Common,0,,
ancestral-blessing-ring,Ancestral Blessing Ring,armor,Any,Ring,Legendary,3,,
apprentice-boots,Apprentice Boots,armor,"Sorcerer, Seer",Feet,Common,1,,
apprentice-bracers,Apprentice Bracers,armor,"Sorcerer, Seer",Hands,Common,1,,
apprentice-hood,Apprentice Hood,armor,"Sorcerer, Seer",Head,Common,1,,
apprentice-pants,Apprentice Pants,armor,"Sorcerer, Seer",Legs,Common,1,,
apprentice-robe,Apprentice Robe,armor,"Sorcerer, Seer",Chest,Common,1,,
archer-12-blue-purple,Archer 12 Blue-Purple,armor,Blackarrow,Necklace,Excellent,0,,
archer-12-blue,Archer 12 Blue,armor,Blackarrow,Necklace,Excellent,0,,
archer-12-gray,Archer 12 Gray,armor,Blackarrow,Necklace,Damaged,0,,
archer-12-green-blue,Archer 12 Green-Blue,armor,Blackarrow,Necklace,Rare,0,,
archer-12-green,Archer 12 Green,armor,Blackarrow,Necklace,Rare,0,,
archer-12-orange,Archer 12 Orange,armor,Blackarrow,Necklace,Legendary,0,,
archer-12-purple-orange,Archer 12 Purple-Orange,armor,Blackarrow,Necklace,Epic,0,,
archer-12-purple,Archer 12 Purple,armor,Blackarrow,Necklace,Epic,0,,
archer-12-white-no-accessories,Archer 12 White (No Accessories),armor,Blackarrow,Necklace,Common,0,,
archer-12-white,Archer 12 White,armor,Blackarrow,Necklace,Common,0,,
artisans-bracers,Artisan's Bracers,armor,"Blackarrow, Shadowstrix",Hands,Common,1,,
artisans-eyepatch,Artisan's Eyepatch,armor,"Blackarrow, Shadowstrix",Head,Common,1,,
artisans-leather-boots,Artisan's Leather Boots,armor,"Blackarrow, Shadowstrix",Feet,Common,1,,
artisans-pants,Artisan's Pants,armor,"Blackarrow, Shadowstrix",Legs,Common,1,,
artisans-vest,Artisan's Vest,armor,"Blackarrow, Shadowstrix",Chest,Common,1,,
astral-12-blue-purple,Astral 12 Blue-Purple,armor,Sorcerer,Necklace,Excellent,0,,
astral-12-blue,Astral 12 Blue,armor,Sorcerer,Necklace,Excellent,0,,
astral-12-gray,Astral 12 Gray,armor,Sorcerer,Necklace,Damaged,0,,
astral-12-green-blue,Astral 12 Green-Blue,armor,Sorcerer,Necklace,Rare,0,,
astral-12-green,Astral 12 Green,armor,Sorcerer,Necklace,Rare,0,,
astral-12-white-no-jewelry,Astral 12 White (No Jewelry),armor,Sorcerer,Necklace,Common,0,,
astral-12-white,Astral 12 White,armor,Sorcerer,Necklace,Common,0,,
beak-necklace,Beak Necklace,armor,Any,Necklace,Rare,3,,
benediction-amulet,Benediction Amulet,armor,Any,Necklace,Excellent,3,,
black-iris-bracers,Black Iris Bracers,armor,Withered Knight,Hands,Epic,9,,
black-iris-breastplate,Black Iris Breastplate,armor,Withered Knight,Chest,Epic,9,,
black-iris-breeches,Black Iris Breeches,armor,Withered Knight,Legs,Epic,9,,
black-iris-helmet,Black Iris Helmet,armor,Withered Knight,Head,Epic,9,,
black-iris-sabatons,Black Iris Sabatons,armor,Withered Knight,Feet,Epic,9,,
bloodborn-amulet,Bloodborn Amulet,armor,Any,Necklace,Excellent,3,,
bloodwrath-general-armor,Bloodwrath General Armor,armor,Mercenary,Chest,Epic,9,,
bloodwrath-general-bracers,Bloodwrath General Bracers,armor,Mercenary,Hands,Epic,9,,
bloodwrath-general-greaves,Bloodwrath General Greaves,armor,Mercenary,Feet,Epic,9,,
bloodwrath-general-helmet,Bloodwrath General Helmet,armor,Mercenary,Head,Epic,9,,
bloodwrath-general-pants,Bloodwrath General Pants,armor,Mercenary,Legs,Epic,9,,
brass-necklace,Brass Necklace,armor,Any,Necklace,Common,1,,
break-12-blue-purple,Break 12 Blue-Purple,armor,Withered Knight,Necklace,Excellent,0,,
break-12-blue,Break 12 Blue,armor,Withered Knight,Necklace,Excellent,0,,
break-12-gray,Break 12 Gray,armor,Withered Knight,Necklace,Damaged,0,,
break-12-green-blue,Break 12 Green-Blue,armor,Withered Knight,Necklace,Rare,0,,
break-12-green,Break 12 Green,armor,Withered Knight,Necklace,Rare,0,,
break-12-purple-orange,Break 12 Purple-Orange,armor,Withered Knight,Necklace,Epic,0,,
break-12-purple,Break 12 Purple,armor,Withered Knight,Necklace,Epic,0,,
break-12-white-no-accessories,Break 12 White No Accessories,armor,Withered Knight,Necklace,Common,0,,
break-12-white,Break 12 White,armor,Withered Knight,Necklace,Common,0,,
carved-amulet,Carved Amulet,armor,Any,Necklace,Common,1,,
ceremonial-bracers,Ceremonial Bracers,armor,Withered Knight,Hands,Rare,9,,
ceremonial-breastplate,Ceremonial Breastplate,armor,Withered Knight,Chest,Rare,9,,
ceremonial-breeches,Ceremonial Breeches,armor,Withered Knight,Legs,Rare,9,,
ceremonial-helmet,Ceremonial Helmet,armor,Withered Knight,Head,Rare,9,,
ceremonial-sabatons,Ceremonial Sabatons,armor,Withered Knight,Feet,Rare,9,,
champions-armor,Champion's Armor,armor,Mercenary,Chest,Legendary,9,,
champions-boots,Champion's Boots,armor,Mercenary,Feet,Legendary,9,,
champions-bracers,Champion's Bracers,armor,Mercenary,Hands,Legendary,9,,
champions-helmet,Champion's Helmet,armor,Mercenary,Head,Legendary,9,,
champions-pants,Champion's Pants,armor,Mercenary,Legs,Legendary,9,,
charge-12-blue-purple,Charge 12 Blue-Purple,armor,Mercenary,Necklace,Excellent,0,,
charge-12-blue,Charge 12 Blue,armor,Mercenary,Necklace,Excellent,0,,
charge-12-gray,Charge 12 Gray,armor,Mercenary,Necklace,Damaged,0,,
charge-12-green-blue,Charge 12 Green-Blue,armor,Mercenary,Necklace,Rare,0,,
charge-12-green,Charge 12 Green,armor,Mercenary,Necklace,Rare,0,,
charge-12-orange,Charge 12 Orange,armor,Mercenary,Necklace,Legendary,0,,
charge-12-purple-orange,Charge 12 Purple-Orange,armor,Mercenary,Necklace,Epic,0,,
charge-12-purple,Charge 12 Purple,armor,Mercenary,Necklace,Epic,0,,
charge-12-white-no-accessories,"Charge 12 White, No Accessories",armor,Mercenary,Necklace,Common,0,,
charge-12-white,Charge 12 White,armor,Mercenary,Necklace,Common,0,,
commander-seal-ring,Commander Seal Ring,armor,Any,Ring,Epic,3,,
crude-recruit-armor,Crude Recruit Armor,armor,"Mercenary, Withered Knight",Chest,Damaged,1,,
crude-recruit-boots,Crude Recruit Boots,armor,"Mercenary, Withered Knight",Feet,Damaged,1,,
crude-recruit-bracers,Crude Recruit Bracers,armor,"Mercenary, Withered Knight",Hands,Damaged,1,,
crude-recruit-helmet,Crude Recruit Helmet,armor,"Mercenary, Withered Knight",Head,Damaged,1,,
crude-recruit-pants,Crude Recruit Pants,armor,"Mercenary, Withered Knight",Legs,Damaged,1,,
crusade-bracers,Crusade Bracers,armor,Withered Knight,Hands,Excellent,9,,
crusade-breastplate,Crusade Breastplate,armor,Withered Knight,Chest,Excellent,9,,
crusade-breeches,Crusade Breeches,armor,Withered Knight,Legs,Excellent,9,,
crusade-helmet,Crusade Helmet,armor,Withered Knight,Head,Excellent,9,,
crusade-sabatons,Crusade Sabatons,armor,Withered Knight,Feet,Excellent,9,,
crusader-gauntlets,Crusader Gauntlets,armor,Blackarrow,Hands,Excellent,9,,
crusader-hood,Crusader Hood,armor,Blackarrow,Head,Excellent,9,,
crusader-leather-armor,Crusader Leather Armor,armor,Blackarrow,Chest,Excellent,9,,
crusader-long-boots,Crusader Long Boots,armor,Blackarrow,Feet,Excellent,9,,
crusader-pants,Crusader Pants,armor,Blackarrow,Legs,Excellent,9,,
decorative-ring,Decorative Ring,armor,Any,Ring,Common,1,,
defeat-12-orange,Defeat 12 Orange,armor,Withered Knight,Necklace,Legendary,0,,
demonbane-ring,Demonbane Ring,armor,Any,Ring,Excellent,3,,
discipline-pendant,Discipline Pendant,armor,Any,Necklace,Rare,3,,
dominance-amulet,Dominance Amulet,armor,Any,Necklace,Excellent,3,,
dps-12-blue-purple,DPS 12 Blue-Purple,armor,Seer,Necklace,Excellent,0,,
