variant_slug,base_slug,base_name,kind,class,slot,rarity,affix,combat_value,expected_socket_count,socket_shapes
ace-assassin-boots-1560401,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Aegis,525,2,"peridot2,agate"
ace-assassin-boots-1560402,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Ethereal,525,2,"amethyst2,peridot"
ace-assassin-boots-1560403,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Seeker,525,2,"agate2,amethyst"
ace-assassin-boots-1560404,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Fervor,525,2,"peridot2,agate"
ace-assassin-boots-1560405,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Smiting,525,2,"moonstone2,peridot"
ace-assassin-boots-1560406,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Elusive,525,2,"amethyst2,moonstone"
ace-assassin-boots-1560407,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Deft,525,2,"peridot2,amethyst"
ace-assassin-boots-1560408,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Base roll,500,3,"moonstone2,agate,peridot"
ace-assassin-boots-1560409,ace-assassin-boots,Ace Assassin Boots,armor,Shadowstrix,Feet,Legendary,Base roll,500,3,"amethyst2,moonstone,peridot"
ace-assassin-bracers-1360401,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Fervid,525,2,"moonstone2,peridot"
ace-assassin-bracers-1360402,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Seeker,525,2,"agate2,moonstone"
ace-assassin-bracers-1360403,ace-assassin-bracers,Ace Assassin Bracers,armor,Shadowstrix,Hands,Legendary,Fervor,525,2,"amethyst2,agate"
